GLU_Name,reg_id,basin_id,key,reg_nm,Reg8,EmissionType,MaxLine,MinLine,LineType
ElbeR,13,31,13031,EU-15,EUR,AllPositive,SG17,SG20,Increase
EmsWeserR,13,28,13028,EU-15,EUR,AllPositive,HWSD,Houghton,Increase
GreatLakes,1,227,1227,USA,USA,AllPositive,SG17,SG20,Increase
ShebJubR,2,170,2170,Africa_Eastern,AFR,AllPositive,Houghton,FAO,Increase
Kalimantan,18,165,18165,Indonesia,XAS,AllPositive,SG17,Houghton,Increase
MarChiq,31,203,31203,Argentina,XLM,AllPositive,SG17,SG20,Increase
OrinocoR,32,156,32156,Colombia,XLM,AllPositive,SG17,HWSD,Increase
RioBalsas,20,134,20134,Mexico,XLM,AllPositive,Houghton,HWSD,Increase
SAmerCstN,32,143,32143,Colombia,XLM,AllPositive,HWSD,SG17,Increase
UsaColoRS,1,221,1221,USA,USA,AllNegative,HWSD,SG20,Increase
AmazonR,26,168,26168,South America_Southern,XLM,AllPositive,SG17,SG20,Decrease
DanubeR,14,54,14054,Europe_Eastern,ROW,AllPositive,HWSD,SG20,PeakSteady
DanubeR,15,54,15054,Europe_Non_EU,ROW,AllPositive,SG17,Houghton,PeakSteady
DaugavaR,14,25,14025,Europe_Eastern,ROW,AllPositive,SG17,SG20,PeakSteady
DnieperR,14,39,14039,Europe_Eastern,ROW,AllPositive,HWSD,Houghton,PeakSteady
DnieperR,23,39,23039,Russia,ROW,AllPositive,FAO,Houghton,PeakSteady
ElbeR,12,31,12031,EU-12,EUR,AllPositive,SG17,SG20,PeakSteady
FranceCstW,13,41,13041,EU-15,EUR,AllPositive,SG17,FAO,PeakSteady
LoireR,13,44,13044,EU-15,EUR,AllPositive,SG17,HWSD,PeakSteady
SeineR,13,46,13046,EU-15,EUR,AllPositive,SG17,HWSD,PeakSteady
UsaCstNE,8,232,8232,Canada,ROW,AllPositive,SG17,SG20,PeakSteady
UsaCstSE,1,226,1226,USA,USA,AllPositive,SG17,Houghton,PeakSteady
UsaPacNW,8,229,8229,Canada,ROW,AllPositive,SG20,HWSD,PeakSteady
VolgaR,23,18,23018,Russia,ROW,AllPositive,SG17,Houghton,PeakSteady
CaspianE,27,52,27052,South Asia,XAS,AllPositive,Houghton,FAO,Spike
FarahrudR,27,90,27090,South Asia,XAS,AllPositive,Houghton,SG20,Spike
HamuMashR,27,102,27102,South Asia,XAS,AllPositive,Houghton,SG20,Spike
Helmand,27,97,27097,South Asia,XAS,AllPositive,Houghton,SG17,Spike
IndusR,27,89,27089,South Asia,XAS,AllPositive,Houghton,FAO,Spike
BengalBay,29,116,29116,Southeast Asia,XAS,AllPositive,SG17,Houghton,PeakSteady
Caribbean,9,101,9101,Central America and Caribbean,XLM,AllPositive,SG17,FAO,PeakSteady
ColEcuaCst,32,157,32157,Colombia,XLM,AllPositive,FAO,SG20,PeakSteady
GrijUsuR,20,133,20133,Mexico,XLM,AllPositive,SG17,HWSD,PeakSteady
MexCstW,20,115,20115,Mexico,XLM,AllPositive,Houghton,HWSD,PeakSteady
MexGulf,20,105,20105,Mexico,XLM,AllPositive,Houghton,SG20,PeakSteady
Papaloapan,20,130,20130,Mexico,XLM,AllPositive,Houghton,FAO,PeakSteady
RioLerma,20,131,20131,Mexico,XLM,AllPositive,HWSD,SG20,PeakSteady
Tehuantpc,20,136,20136,Mexico,XLM,AllPositive,Houghton,HWSD,PeakSteady
DnkGrmCst,13,21,13021,EU-15,EUR,AllPositive,FAO,SG20,PeakSteady
Madagascar,2,177,2177,Africa_Eastern,AFR,AllNegative,Houghton,SG17,StepDown
AfrCstE,2,171,2171,Africa_Eastern,AFR,AllPositive,Houghton,SG17,StepDown
AfrCstE,4,171,4171,Africa_Southern,AFR,AllPositive,HWSD,SG20,StepDown
AfrCstSE,4,190,4190,Africa_Southern,AFR,AllPositive,HWSD,Houghton,StepDown
AfrCstW,5,142,5142,Africa_Western,AFR,AllPositive,SG17,HWSD,StepDown
CongoR,4,183,4183,Africa_Southern,AFR,AllPositive,HWSD,SG20,StepDown
CongoR,5,183,5183,Africa_Western,AFR,AllPositive,SG17,HWSD,StepDown
GuineaGulf,5,162,5162,Africa_Western,AFR,AllPositive,SG17,HWSD,StepDown
LChad,5,151,5151,Africa_Western,AFR,AllPositive,Houghton,SG17,StepDown
LimpopoR,4,199,4199,Africa_Southern,AFR,AllPositive,SG20,Houghton,StepDown
AusCstW,6,191,6191,Australia_NZ,XAS,AllPositive,SG20,SG17,StepDown
BengalW,17,118,17118,India,XAS,AllPositive,Houghton,FAO,StepDown
BrahmaniR,17,120,17120,India,XAS,AllPositive,Houghton,HWSD,StepDown
BrzCstE,7,186,7186,Brazil,BRA,AllPositive,Houghton,SG17,StepDown
ChaoPhrR,29,146,29146,Southeast Asia,XAS,AllPositive,SG17,HWSD,StepDown
ColEcuaCst,26,157,26157,South America_Southern,XLM,AllPositive,HWSD,FAO,StepDown
