"","riverBasin","series","run","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","2051","2052","2053","2054","2055","2056","2057","2058","2059","2060"
"11","AfrIntN",69,"moiraiSG17",-3.499982767,-3.195313606,-2.432773821,-1.824191127,-1.3514744681,-0.9906991031,-0.3211198125,0.0257085044,0.297416679,0.508165325,0.6704858244,0.829988446,0.9385102398,1.0203890481,1.0822398512,1.1290485699,1.42985890214,1.47936793354,1.51345655433,1.53748358449,1.55477212752,1.70352871406,1.73271438116,1.75419703768,1.770204869597,1.782250601779,1.722020228915,1.73573970589,1.747416253296,1.757008363724,1.76473422557,1.646812882129,1.6529328106976,1.6582917546739,1.662760062256,1.6663833953425,1.6600496922322,1.6876132598244,1.7080530043185,1.723222065614,1.7345184669106,1.83237867670805,1.8368463236061,1.84065725250462,1.8438208838035,1.84639311840265,1.63183536670201,1.60989051290152,1.59592504160116,1.58683792530088,1.58078277070066
"12","AfrIntS",69,"moiraiSG17",6.900560014,12.716998534,13.089464947,13.388079494,13.629243135,13.825530547,12.983051366,12.615275256,12.329280729,12.105018716,11.927624425,10.456350319,10.359269368,10.277331026,10.207304414,10.146858679,11.141585266,11.112649186,11.082719176,11.052757867,11.023503989,11.50213144,11.493546242,11.48280277,11.470906634,11.458655803,7.977678113,7.970849362,7.965541275,7.96162132,7.958951785,8.034558542,8.046107231,8.054687079,8.061300548,8.066626057,7.77336897,7.788878386,7.801116735,7.811040723,7.819441976,7.840442942,7.850745277,7.861270224,7.871969556,7.882734536,7.454161908,7.480676477,7.501977302,7.519413353,7.534035555
"13","AmazonR",69,"moiraiSG17",318.594183025,439.391430879,449.680803095,458.537961156,466.221663117,472.926061908,321.545227423,317.080128412,314.27231881,312.5418541008,311.497644351,297.087452045,296.29283899,295.7412799603,295.333636424,295.0036576153,303.024351379,302.835387857,302.600023615,302.319581426,301.99670562,298.46719396,298.099181868,297.702521133,297.280391152,296.835472107,219.535915323,217.033958246,215.03839098,213.4195508272,212.083796743,201.479879067,200.184896207,199.095904633,198.161182844,197.341729971,177.50002846,176.155458369,175.03266389,174.077443499,173.249059308,182.5828131436,182.3611309498,182.0882149724,181.7780946424,181.4414140768,159.4745993192,158.388429239,157.4786529936,156.70212206336,156.02653652945
"14","AmuDaryaR",69,"moiraiSG17",-6.236215482,-4.48910599,-3.437279386,-2.523525567,-1.72646201,-1.027892792,-1.24366826,-0.903639157000001,-0.607255984,-0.347090593999999,-0.117403775,0.170205848,0.408374117,0.606641048000001,0.774141595,0.917331732000001,0.936422952,1.002547561,1.057764559,1.104749007,1.145255689,1.245357832,1.28801877,1.3335333768,1.3787338655,1.4220836708,3.2843488647,4.1570219263,4.79890336,5.2769739641,5.6365535135,4.01966253469,3.43261419958,3.02488073699,2.73906491678,2.53775205887,2.20316271217,2.05424199565,1.94347084225,1.860535910945,1.798151011716,1.729168688543,1.684355980411,1.651155373312,1.626350313236,1.607686727179,1.437318652136,1.379585268103,1.3339154340779,1.2969812110591,1.2665336250448
"15","AmurR",69,"moiraiSG17",4.68112347000001,-17.219209051,-23.968137759,-29.527267871,-34.543029372,-39.283362087,-52.409397958,-45.321855127,-38.468291222,-32.169938521,-26.510707951,-27.311891147,-23.311243812,-19.720275139,-16.485657841,-13.555230061,-12.038090617,-9.810838136,-7.741551971,-5.808363981,-3.994560609,-3.662899502,-2.225674954,-0.846027146999997,0.470573612999995,1.723759641,-5.220738516,-4.760904921,-4.26588639,-3.763357135,-3.266014082,-4.467660333,-4.145192984,-3.814855851,-3.479442116,-3.141570129,-5.051942959,-4.900859832,-4.725542932,-4.533318185,-4.329035301,-4.140130859,-3.907420077,-3.670867669,-3.432491724,-3.194108397,-4.869105195,-4.848102502,-4.814092335,-4.763420301,-4.696289947
"16","AngolaCst",69,"moiraiSG17",25.761633658,54.050252801,55.763775559,57.06878863,58.063364094,58.821725515,26.490227431,24.484461878,22.939385572,21.74351743,20.812673758,19.202605151,18.642255294,18.194706616,17.833881094,17.540057602,17.549819108,17.37101693,17.219221819,17.089017762,16.976557717,23.009730896,23.103902652,23.173055798,23.223807364,23.261259621,19.93886366,19.936510177,19.937711952,19.941782508,19.948094647,18.870305266,18.878056878,18.888501961,18.901070829,18.915198122,17.675527867,17.689629498,17.706827183,17.72618863,17.747125843,16.585779679,16.5885942,16.59822902,16.612641071,16.630263002,15.401956648,15.424212167,15.447940528,15.472528337,15.497678791
"17","ArabianP",69,"moiraiSG17",-24.868000521,-23.568563439,-20.650039035,-18.197287243,-16.148705328,-14.441097131,-11.609037585,-9.749586908,-8.150817041,-6.784371639,-5.61940584,-4.548478824,-3.682317009,-2.942024801,-2.308177635,-1.764405483,-1.044294659,-0.634378747000001,-0.284749709999999,0.0163345249999998,0.277145274,0.903861119,1.162165347,1.388432155,1.585429712,1.756374876,1.715001651,1.869387332,2.007681767,2.128704852,2.233282902,2.191018644,2.25610783,2.312477785,2.360791763,2.401996523,2.266212258,2.280984299,2.294470341,2.306163626,2.315989754,2.046151523,2.003542966,1.96618108,1.933760036,1.90583403,1.766443393,1.737513815,1.714061621,1.694337183,1.677443888
"18","ArabianSea",69,"moiraiSG17",0.335694573,-0.138252572,-0.075610967,-0.016768561,0.0338298851000001,0.0752857616,1.955750759,2.609887093,3.064055975,3.386762977,3.620544019,2.855188443,2.676966762,2.561754814,2.485126514,2.432810721,2.369437238,2.332482691,2.305393342,2.285351648,2.270429085,2.0372938508,1.95626456,1.900309512,1.86077064,1.832292166,1.928330553,1.955395806,1.974130838,1.987389934,1.996954329,2.095394697,2.132271912,2.158371897,2.177178985,2.190952513,2.0336933099,1.988258457,1.958247159,1.937834587,1.92356616,1.75538913,1.708506776,1.679940027,1.661911257,1.650079128,1.381346785,1.304105626,1.25513258,1.222952094,1.201063166
"19","ArcticIsl",69,"moiraiSG17",0.0555773130000004,0.441490337999999,0.68882906,0.905957051999999,1.096722537,1.264221364,0.810389744,0.66752372,0.544942073,0.439883648,0.350054112,0.273478112,0.208311545,0.153053051,0.10636266,0.067067547,0.034156865,0.00675965100000001,-0.0159196370000001,-0.034520555,-0.049633438,-0.061757349,-0.071330096,-0.078729748,-0.0842743530000001,-0.088257953,-0.090928737,-0.092480398,-0.093111545,-0.092971071,-0.092195673,-0.090901954,-0.08918953,-0.08714232,-0.084834191,-0.082326724,-0.079671205,-0.076913278,-0.074089974,-0.071232213,-0.068366022,-0.065514171,-0.062693671,-0.059918902,-0.057201368,-0.054550358,-0.051973989,-0.049476697,-0.047062041,-0.044732943,-0.042491521
"20","ArgColoR",69,"moiraiSG17",21.936935088,15.540505072,14.622612833,13.8669571344,13.122215306,12.345208139,10.380424051,9.620431661,8.91000892568,8.223895184,7.559238644,7.24961152,6.699080834,6.178062863,5.693341759,5.248179157,4.809514242,4.431402394,4.092865318,3.791214534,3.523482056,3.233322837,3.0270027028,2.846867208,2.6888322352,2.5499735538,2.151579739,2.048927258,1.9627967733,1.8881321483,1.8221544939,1.9374428794,1.9052242067,1.87373922,1.844810827,1.81912004,1.417991851,1.359679523,1.313677389,1.2748731597,1.240746757,1.229577545,1.2056019341,1.1839177211,1.1641988147,1.1463035795,1.0444024961,1.023177628,1.0057274829,0.99054565792,0.97699965102
