"","region","series","run","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","2051","2052","2053","2054","2055","2056","2057","2058","2059","2060"
"11","China",69,"moiraiSG17",3.81198705,-102.521602261,-100.099164174,-96.380833929,-92.4758252365,-88.844151359,123.5974056667,140.050626205,153.831843105,165.749145478,176.2659274908,139.882659448,145.141480629,150.0828196776,154.652665847,158.847298764,138.536961831,139.27934826,140.106006595,140.981804049,141.885726117,124.339911628,123.86763349,123.669939651,123.628053786,123.678683855,65.48227402,62.276612305,59.71006887,57.533566978,55.624196413,38.301137798,35.230060203,32.53565902,30.174210035,28.107933642,7.655112718,4.178969432,1.14783951199999,-1.480807812,-3.751454709,-9.66582696,-11.758129312,-13.556804139,-15.092804308,-16.398729537,-32.352857281,-34.909140709,-37.169084982,-39.124744785,-40.795518976
"12","Colombia",69,"moiraiSG17",6.384317732,51.2252219,49.053860548,46.869195689,44.860464401,43.112251537,8.859514834,13.890294653,18.981565206,23.862082228,28.401859297,34.084484326,37.97619495,41.459453203,44.572890952,47.357126911,49.152276165,51.288469877,53.223566633,54.981182876,56.582658446,59.64716958,61.078509355,62.380484964,63.571037756,64.665167961,59.480795438,60.232210857,60.965369895,61.675870553,62.361405346,61.344988613,61.888453256,62.426642061,62.955455388,63.472364381,60.760084216,61.092814534,61.446929353,61.812988605,62.184351405,64.001071834,64.447335313,64.86927186,65.269755677,65.651201335,63.4174745453,63.639205891,63.877537345,64.125621019,64.378856094
"13","EU-12",69,"moiraiSG17",-81.703215153,-59.240555132,-55.781788459,-52.535276428,-49.651042036,-47.161624781,-39.654842856,-31.720276705,-24.258430429,-17.420440334,-11.219654515,-19.811810523,-15.620025013,-11.772804359,-8.23639073,-4.974413021,-0.0329183060000001,3.001571969,5.821963556,8.460969089,10.940850037,15.333108867,17.718281432,19.979464148,22.110851166,24.115199079,7.245759084,7.844527092,8.512321264,9.199192795,9.882167576,7.576124049,8.103023685,8.63040402,9.154048144,9.671512025,7.189430318,7.590273737,7.996733128,8.40618363,8.815994544,11.743623021,12.49140214,13.205146069,13.885194259,14.532577229,11.299676221,11.737940516,12.172785002,12.597712023,13.009695533
"14","EU-15",69,"moiraiSG17",-110.995476914,-79.809603502,-78.5118258233,-78.220015195,-78.497290849,-79.054132685,71.07572901,103.106830849,133.404565969,161.296525044,186.563989984,113.897241332,128.171401134,141.440980923,153.359747618,163.879570857,163.641875296,171.085412736,177.593664643,183.28496882,188.273088888,183.969583817,187.434511566,190.617227285,193.488691107,196.060582204,129.837466404,127.664668433,126.096533896,124.837764227,123.754329532,123.1873331201,122.387532057,121.630708531,120.961136741,120.393394136,107.148692447,106.063156047,105.176436939,104.453785114,103.869170355,105.7520183835,105.7141105876,105.7382298299,105.811282737,105.9236178115,88.8786704253,88.1652122078,87.6546388589,87.2679117945,86.9646718833
"15","Europe_Eastern",69,"moiraiSG17",-36.66151416,-4.836991267,0.521234231999999,5.168348094,9.22139702700001,12.780126907,9.520303851,12.292231225,14.768268635,17.014279555,19.072797557,17.80457838,19.723721607,21.527061363,23.204702527,24.758898726,26.136499263,27.424240656,28.618391137,29.730234001,30.768564523,32.6471552801,33.7068727308,34.7007156642,35.6269102029,36.4877620839,19.72984544,19.880139806,20.0847136919,20.3100699784,20.5410019555,20.0707723362,20.2393100324,20.4102957959,20.5836440488,20.75863834297,15.60141670942,15.54284011409,15.51845520995,15.51949107098,15.54034749615,21.66276896845,22.08067822386,22.46415013036,22.814547925939,23.134487179587,19.567466422294,19.6892809980521,19.813026914853,19.933772239691,20.04943770056
"16","Europe_Non_EU",69,"moiraiSG17",-8.794036027,0.391024884999998,2.800146699,4.864286222,6.64671652,8.197042779,-6.940701103,-3.345409821,0.11592601,3.290361572,6.134653681,6.627144504,8.753333682,10.642540425,12.318956657,13.808898862,15.221045341,16.365169829,17.389847212,18.316088969,19.158951516,21.234386744,22.1110607066,22.919031353,23.658335211,24.333108063,15.94490816,15.935310468,15.972886611,16.028527705,16.089336375,14.525782945,14.46043372,14.41224313,14.377783863,14.354897206,12.548331495,12.393606128,12.268172721,12.167376039,12.087476284,12.974730916,13.047417539,13.122148942,13.197012846,13.271002125,11.129978877,11.04477216,10.982403852,10.936209282,10.902217336
"17","European Free Trade Association",69,"moiraiSG17",-6.44032003,7.648701681,9.558853278,11.201295027,12.600534621,13.78727008,22.5606985499,23.487316314,24.221746763,24.85262292,25.422478543,15.022678551,15.101917509,15.253636312,15.427683426,15.601233461,15.382334794,15.504292581,15.618985236,15.726677743,15.828291931,14.345063795,14.374050287,14.414709338,14.46012024,14.507255625,9.614648295,9.445153318,9.321998283,9.224761658,9.143872782,9.308862522,9.242047171,9.182294634,9.131440423,9.089672165,8.573199139,8.511541774,8.462168643,8.423176877,8.393145539,8.6279804,8.623291367,8.6220555483,8.6241306473,8.6292377499,7.5174903869,7.468774251,7.4328329971,7.4052188252,7.383356037
"18","India",69,"moiraiSG17",278.166203657998,244.744104271,240.000984403,235.337982292,230.749909255,226.238372953,382.3517763653,395.847280485,405.011200396,410.984940838,414.609384738,388.8356109,387.006304789,384.928689426,382.671434127,380.288177514,344.556181162,336.431833883,329.581879576,323.72291121,318.638077359,348.256275296,351.395345949,353.235732182,354.1057430458,354.2575292902,285.3872447379,277.9723650774,272.1050458767,267.3562139596,263.4224450578,248.9273109596,244.22975623541,240.29526170396,236.93589891687,234.01268235966,218.35026651576,214.09148340013,210.49463808433,207.403969201,204.703121245537,224.255294675165,224.84282083312,224.945560558596,224.681890456893,224.146551869228,211.810819183146,209.236783208902,206.966047705655,204.928206823016,203.072389466612
"19","Indonesia",69,"moiraiSG17",1123.768086924,1020.804956812,1034.391042403,1046.124071697,1056.502977817,1065.882246019,835.66180598,794.811860092,764.9181714,743.400138121,728.269226151,639.30335812,629.977242286,624.056152129,620.683234639,619.218326349,618.522470221,618.218486776,618.966701667,620.513076368,622.660807114,587.0476125097,586.8315706208,587.4372410166,588.6506046351,590.3136516832,518.0260935804,518.4057219774,519.4899659564,521.0659204555,522.98772158731,511.29726452135,511.91090777237,513.0288496971,514.52252125077,516.29612363808,489.38468366889,488.78734301884,488.875241814974,489.475610286444,490.459772149219,516.969591268572,520.549076288105,523.682351956333,526.471463224066,528.993286491345,497.955988401463,498.011599492136,498.409133535571,499.052926286524,499.874164627914
"20","Japan",69,"moiraiSG17",-28.624338128,-8.593319116,-6.014549318,-3.644432401,-1.465878962,0.536796566499997,17.586119703,20.46558845,23.041120328,25.374596774,27.505587524,14.573124705,15.436959295,16.299822708,17.140925571,17.950003658,19.329753601,20.095976279,20.818149677,21.499449586,22.142838205,20.943061397,21.406864001,21.8587866356,22.2939196128,22.710102963,9.73242478,9.267162691,8.909842292,8.630617001,8.410950799,8.3350926,8.235973872,8.1654260878,8.120492528,8.097979153,6.882191227,6.818092078,6.777718279,6.756807498,6.752057398,6.705290746,6.7311132207,6.765878846,6.8074344874,6.8541088356,5.5515392246,5.5232612698,5.5078583329,5.502667216,5.505629104
